tagcategory_id,title_de,title_en,suggestion,created_by
3,Apothekenfacharbeiter/in ,Apothekenfacharbeiter/in ,yes,0
3,Apothekenhelfer/in ,Apothekenhelfer/in ,yes,0
3,Apotheker/in,Apotheker/in,yes,0
3,Apotheker/in (Uni) ,Apotheker/in (Uni) ,yes,0
3,Apotheker/in / Pharmazeut/in ,Apotheker/in / Pharmazeut/in ,yes,0
3,Apothekerassistent/in,Apothekerassistent/in,yes,0
3,Apparatewärter/in (Lebensmittelherstellung) ,Apparatewärter/in (Lebensmittelherstellung) ,yes,0
3,Application-Engineer/-Manager/in,Application-Engineer/-Manager/in,yes,0
3,Aquariumbauer/in ,Aquariumbauer/in ,yes,0
3,Arabist/in ,Arabist/in ,yes,0
3,Arabist/in (Uni) ,Arabist/in (Uni) ,yes,0
3,Arabistik (grundständig),Arabistik (grundständig),yes,0
3,Arabistik (weiterführend),Arabistik (weiterführend),yes,0
3,Arbeitsberater/in (FH) ,Arbeitsberater/in (FH) ,yes,0
3,Arbeitserzieher/in,Arbeitserzieher/in,yes,0
3,Arbeitsgestalter/in ,Arbeitsgestalter/in ,yes,0
3,Arbeitshygieneinspektor/in ,Arbeitshygieneinspektor/in ,yes,0
3,Arbeitsmarktmanagement (grundständig),Arbeitsmarktmanagement (grundständig),yes,0
3,Arbeitsmarktmanager/in ,Arbeitsmarktmanager/in ,yes,0
3,Arbeitsmarktorientierte Beratung (weiterführend),Arbeitsmarktorientierte Beratung (weiterführend),yes,0
3,Arbeitsmedizinische/r Assistent/in,Arbeitsmedizinische/r Assistent/in,yes,0
3,Arbeitsplanungsingenieur/in,Arbeitsplanungsingenieur/in,yes,0
3,Arbeitsplatz-Auditor/in,Arbeitsplatz-Auditor/in,yes,0
3,Arbeitspsychologe/-psychologin,Arbeitspsychologe/-psychologin,yes,0
3,Arbeitstherapeut/in ,Arbeitstherapeut/in ,yes,0
3,Arbeitsvermittler/in ,Arbeitsvermittler/in ,yes,0
3,Arbeitsvorbereiter/in,Arbeitsvorbereiter/in,yes,0
3,Arbeitsvorbereiter/in (Rechenzentrum) ,Arbeitsvorbereiter/in (Rechenzentrum) ,yes,0
3,Arbeitswissenschaftler/in,Arbeitswissenschaftler/in,yes,0
3,Arbitrageur/in ,Arbitrageur/in ,yes,0
3,Archäologe/Archäologin ,Archäologe/Archäologin ,yes,0
3,Archäologe/Archäologin (Uni) ,Archäologe/Archäologin (Uni) ,yes,0
3,Archäologie (grundständig),Archäologie (grundständig),yes,0
3,Archäologie (weiterführend),Archäologie (weiterführend),yes,0
3,Architekt/in,Architekt/in,yes,0
3,Architektur (grundständig),Architektur (grundständig),yes,0
3,Architektur (weiterführend),Architektur (weiterführend),yes,0
3,"Architekturmaler/in (Glas-, Kerammaler/in) ","Architekturmaler/in (Glas-, Kerammaler/in) ",yes,0
3,Archivar/in ,Archivar/in ,yes,0
3,Archivar/in (FS) ,Archivar/in (FS) ,yes,0
3,Archivwissenschaft (grundständig),Archivwissenschaft (grundständig),yes,0
3,Archivwissenschaft (weiterführend),Archivwissenschaft (weiterführend),yes,0
3,Arrangeur/in,Arrangeur/in,yes,0
3,Art-Buyer (Werbung),Art-Buyer (Werbung),yes,0
3,Art-Direktor/in,Art-Direktor/in,yes,0
3,Artist/in,Artist/in,yes,0
3,Arzneimittelchemiker/in,Arzneimittelchemiker/in,yes,0
3,Arzt/Ärztin,Arzt/Ärztin,yes,0
3,Arzt/Ärztin (Uni) ,Arzt/Ärztin (Uni) ,yes,0
3,Arztfachhelfer/in ,Arztfachhelfer/in ,yes,0
3,Arztfachhelfer/in - Gesundheitserziehung ,Arztfachhelfer/in - Gesundheitserziehung ,yes,0
3,Arzthelfer/in ,Arzthelfer/in ,yes,0
3,Arztsekretär/in,Arztsekretär/in,yes,0
3,Asphaltbauer/in,Asphaltbauer/in,yes,0
3,Asphaltierervorarbeiter/in ,Asphaltierervorarbeiter/in ,yes,0
3,Assistent/in - Automatisierungs- und Computertechnik,Assistent/in - Automatisierungs- und Computertechnik,yes,0
3,Assistent/in - Betriebsleitung im Gartenbau,Assistent/in - Betriebsleitung im Gartenbau,yes,0
3,Assistent/in - Bibliotheken ,Assistent/in - Bibliotheken ,yes,0
3,Assistent/in - Controlling,Assistent/in - Controlling,yes,0
3,Assistent/in - Elektronik und Datentechnik ,Assistent/in - Elektronik und Datentechnik ,yes,0
3,Assistent/in - Filmgeschäftsführung,Assistent/in - Filmgeschäftsführung,yes,0
3,Assistent/in - Fotodesign ,Assistent/in - Fotodesign ,yes,0
3,Assistent/in - Freizeitwirtschaft,Assistent/in - Freizeitwirtschaft,yes,0
3,Assistent/in - Gebäudeservice ,Assistent/in - Gebäudeservice ,yes,0
3,Assistent/in - Geovisualisierung,Assistent/in - Geovisualisierung,yes,0
3,Assistent/in - Gesundheits- und Sozialwesen,Assistent/in - Gesundheits- und Sozialwesen,yes,0
3,Assistent/in - Gesundheitstourismus/-prophylaxe,Assistent/in - Gesundheitstourismus/-prophylaxe,yes,0
3,Assistent/in - Grafik-Design ,Assistent/in - Grafik-Design ,yes,0
3,Assistent/in - Hotel- und Tourismusmanagement ,Assistent/in - Hotel- und Tourismusmanagement ,yes,0
3,Assistent/in - Hotelmanagement,Assistent/in - Hotelmanagement,yes,0
3,Assistent/in - Informatik,Assistent/in - Informatik,yes,0
3,Assistent/in - Informatik (allgemeine Informatik),Assistent/in - Informatik (allgemeine Informatik),yes,0
3,Assistent/in - Informatik (Medieninformatik),Assistent/in - Informatik (Medieninformatik),yes,0
3,Assistent/in - Informatik (Softwaretechnik),Assistent/in - Informatik (Softwaretechnik),yes,0
3,Assistent/in - Informatik (technische Informatik),Assistent/in - Informatik (technische Informatik),yes,0
3,Assistent/in - Informatik (Wirtschaftsinformatik),Assistent/in - Informatik (Wirtschaftsinformatik),yes,0
3,Assistent/in - Informations- und Kommunikationstechnik ,Assistent/in - Informations- und Kommunikationstechnik ,yes,0
3,Assistent/in - Innenarchitektur,Assistent/in - Innenarchitektur,yes,0
3,Assistent/in - Internationale Betriebswirtschaft ,Assistent/in - Internationale Betriebswirtschaft ,yes,0
3,Assistent/in - klinische Studien,Assistent/in - klinische Studien,yes,0
3,Assistent/in - Logistik,Assistent/in - Logistik,yes,0
3,Assistent/in - Maschinenbautechnik,Assistent/in - Maschinenbautechnik,yes,0
3,Assistent/in - medizinische Gerätetechnik,Assistent/in - medizinische Gerätetechnik,yes,0
3,Assistent/in - Mode und Design ,Assistent/in - Mode und Design ,yes,0
3,Assistent/in - Personalwesen ,Assistent/in - Personalwesen ,yes,0
3,Assistent/in - Pressestelle,Assistent/in - Pressestelle,yes,0
3,Assistent/in - Produktdesign,Assistent/in - Produktdesign,yes,0
3,Assistent/in - Produktionsleitung,Assistent/in - Produktionsleitung,yes,0
3,Assistent/in - Screen Design ,Assistent/in - Screen Design ,yes,0
3,Assistent/in - Softwaretechnologie ,Assistent/in - Softwaretechnologie ,yes,0
3,Assistent/in - Steuerberatung,Assistent/in - Steuerberatung,yes,0
3,Assistent/in - Systemgastronomie,Assistent/in - Systemgastronomie,yes,0
3,Assistent/in - Technische Kommunikation und Dokumentation,Assistent/in - Technische Kommunikation und Dokumentation,yes,0
3,Assistent/in - Veranstaltungstechnik ,Assistent/in - Veranstaltungstechnik ,yes,0
3,Assistent/in - zahnärztliches Praxismanagement,Assistent/in - zahnärztliches Praxismanagement,yes,0
3,Assistent/in in der Textilwirtschaft ,Assistent/in in der Textilwirtschaft ,yes,0
3,Assistent/in/Fachkraft - Rechnungswesen,Assistent/in/Fachkraft - Rechnungswesen,yes,0
