title_de,title_en
Assistent/in - Systemgastronomie,Assistent/in - Systemgastronomie
Assistent/in - Technische Kommunikation und Dokumentation,Assistent/in - Technische Kommunikation und Dokumentation
Assistent/in - Veranstaltungstechnik ,Assistent/in - Veranstaltungstechnik 
Assistent/in - zahnärztliches Praxismanagement,Assistent/in - zahnärztliches Praxismanagement
Assistent/in in der Textilwirtschaft ,Assistent/in in der Textilwirtschaft 
Assistent/in/Fachkraft - Rechnungswesen,Assistent/in/Fachkraft - Rechnungswesen
Assistenzarzt/-ärztin,Assistenzarzt/-ärztin
Assistenzarzt/-ärztin - Augenheilkunde ,Assistenzarzt/-ärztin - Augenheilkunde 
Assistenzarzt/-ärztin (Uni) - Anästhesiologie ,Assistenzarzt/-ärztin (Uni) - Anästhesiologie 
Assistenzarzt/-ärztin (Uni) - Anatomie ,Assistenzarzt/-ärztin (Uni) - Anatomie 
Assistenzarzt/-ärztin (Uni) - Arbeitsmedizin ,Assistenzarzt/-ärztin (Uni) - Arbeitsmedizin 
Assistenzarzt/-ärztin (Uni) - Biochemie ,Assistenzarzt/-ärztin (Uni) - Biochemie 
Assistenzarzt/-ärztin (Uni) - Chirurgie ,Assistenzarzt/-ärztin (Uni) - Chirurgie 
Assistenzarzt/-ärztin (Uni) - Frauenheil./Geburtsh. ,Assistenzarzt/-ärztin (Uni) - Frauenheil./Geburtsh. 
Assistenzarzt/-ärztin (Uni) - Gefäßchirurgie ,Assistenzarzt/-ärztin (Uni) - Gefäßchirurgie 
Assistenzarzt/-ärztin (Uni) - Hals-Nasen-Ohrenheilkunde ,Assistenzarzt/-ärztin (Uni) - Hals-Nasen-Ohrenheilkunde 
Assistenzarzt/-ärztin (Uni) - Haut- u. Geschlechtskrankheit. ,Assistenzarzt/-ärztin (Uni) - Haut- u. Geschlechtskrankheit. 
Assistenzarzt/-ärztin (Uni) - Herzchirurgie ,Assistenzarzt/-ärztin (Uni) - Herzchirurgie 
Assistenzarzt/-ärztin (Uni) - Humangenetik ,Assistenzarzt/-ärztin (Uni) - Humangenetik 
Assistenzarzt/-ärztin (Uni) - Hygiene u. Umweltmedizin ,Assistenzarzt/-ärztin (Uni) - Hygiene u. Umweltmedizin 
Assistenzarzt/-ärztin (Uni) - Innere Med./Allgem.Med ,Assistenzarzt/-ärztin (Uni) - Innere Med./Allgem.Med 
Assistenzarzt/-ärztin (Uni) - Innere Medizin ,Assistenzarzt/-ärztin (Uni) - Innere Medizin 
Assistenzarzt/-ärztin (Uni) - Kind./Jgd.psychiat. u. -psycho ,Assistenzarzt/-ärztin (Uni) - Kind./Jgd.psychiat. u. -psycho 
Assistenzarzt/-ärztin (Uni) - Kinder-/Jugendmedizin ,Assistenzarzt/-ärztin (Uni) - Kinder-/Jugendmedizin 
Assistenzarzt/-ärztin (Uni) - Kinderchirurgie ,Assistenzarzt/-ärztin (Uni) - Kinderchirurgie 
Assistenzarzt/-ärztin (Uni) - Klinische Pharmakologie ,Assistenzarzt/-ärztin (Uni) - Klinische Pharmakologie 
Assistenzarzt/-ärztin (Uni) - Laboratoriumsmedizin ,Assistenzarzt/-ärztin (Uni) - Laboratoriumsmedizin 
Assistenzarzt/-ärztin (Uni) - Mikrob./Virol./Infektionsepid. ,Assistenzarzt/-ärztin (Uni) - Mikrob./Virol./Infektionsepid. 
Assistenzarzt/-ärztin (Uni) - Mund-Kiefer-Gesichtschirurgie ,Assistenzarzt/-ärztin (Uni) - Mund-Kiefer-Gesichtschirurgie 
Assistenzarzt/-ärztin (Uni) - Neurochirurgie ,Assistenzarzt/-ärztin (Uni) - Neurochirurgie 
Assistenzarzt/-ärztin (Uni) - Neurologie ,Assistenzarzt/-ärztin (Uni) - Neurologie 
Assistenzarzt/-ärztin (Uni) - Neuropathologie ,Assistenzarzt/-ärztin (Uni) - Neuropathologie 
Assistenzarzt/-ärztin (Uni) - Nuklearmedizin ,Assistenzarzt/-ärztin (Uni) - Nuklearmedizin 
