title_de,title_en
Lehrrettungsassistent/in ,Lehrrettungsassistent/in 
Lehrtherapeut/in ,Lehrtherapeut/in 
Leichtflugzeugbauer/in,Leichtflugzeugbauer/in
Leistungssachbearbeiter/in (Krankenversicherung) ,Leistungssachbearbeiter/in (Krankenversicherung) 
Leitende(r) Assistent/in - Funktionsdiagnostik ,Leitende(r) Assistent/in - Funktionsdiagnostik 
Leitende(r) Assistent/in - Medizinisch-techn. Labor ,Leitende(r) Assistent/in - Medizinisch-techn. Labor 
Leitende(r) Assistent/in - Veterinärmedizin ,Leitende(r) Assistent/in - Veterinärmedizin 
Leitende/r Assistent/in - Radiologie ,Leitende/r Assistent/in - Radiologie 
Leitende/r Haustechniker/in,Leitende/r Haustechniker/in
Leiter/in - Altenpflegeeinrichtung,Leiter/in - Altenpflegeeinrichtung
Leiter/in - Altenpflegeschule,Leiter/in - Altenpflegeschule
Leiter/in - Arbeitsvorbereitung,Leiter/in - Arbeitsvorbereitung
Leiter/in - betriebliche Aus- und Weiterbildung,Leiter/in - betriebliche Aus- und Weiterbildung
Leiter/in - Betriebliche Instandhaltung,Leiter/in - Betriebliche Instandhaltung
Leiter/in - Betriebliche Instandhaltung (Chemieindustrie) ,Leiter/in - Betriebliche Instandhaltung (Chemieindustrie) 
Leiter/in - Betriebliche Instandhaltung (Druckindustrie) ,Leiter/in - Betriebliche Instandhaltung (Druckindustrie) 
Leiter/in - Betriebliche Instandhaltung (Elektroindustrie) ,Leiter/in - Betriebliche Instandhaltung (Elektroindustrie) 
Leiter/in - Betriebliche Instandhaltung (Fahrzeugindustrie) ,Leiter/in - Betriebliche Instandhaltung (Fahrzeugindustrie) 
Leiter/in - Betriebliche Instandhaltung (Getränkeindustrie) ,Leiter/in - Betriebliche Instandhaltung (Getränkeindustrie) 
Leiter/in - Betriebliche Instandhaltung (Glas/KeramInd.) ,Leiter/in - Betriebliche Instandhaltung (Glas/KeramInd.) 
Leiter/in - Betriebliche Instandhaltung (Holzindustrie) ,Leiter/in - Betriebliche Instandhaltung (Holzindustrie) 
Leiter/in - Betriebliche Instandhaltung (Kunststoffind.) ,Leiter/in - Betriebliche Instandhaltung (Kunststoffind.) 
Leiter/in - Betriebliche Instandhaltung (Lebensmittelind.) ,Leiter/in - Betriebliche Instandhaltung (Lebensmittelind.) 
Leiter/in - Betriebliche Instandhaltung (Maschinenbau) ,Leiter/in - Betriebliche Instandhaltung (Maschinenbau) 
Leiter/in - Betriebliche Instandhaltung (Optische Ind.) ,Leiter/in - Betriebliche Instandhaltung (Optische Ind.) 
Leiter/in - Betriebliche Instandhaltung (Textilindustrie) ,Leiter/in - Betriebliche Instandhaltung (Textilindustrie) 
Leiter/in - Betriebliche Instandhaltung (Versorgungstechnik) ,Leiter/in - Betriebliche Instandhaltung (Versorgungstechnik) 
Leiter/in - Controlling,Leiter/in - Controlling
Leiter/in - Einkauf,Leiter/in - Einkauf
Leiter/in - Eurythmieschule ,Leiter/in - Eurythmieschule 
Leiter/in - Export,Leiter/in - Export
Leiter/in - Finanz- und Rechnungswesen,Leiter/in - Finanz- und Rechnungswesen
Leiter/in - Forschung und Entwicklung,Leiter/in - Forschung und Entwicklung
Leiter/in - Galvanikabteilung ,Leiter/in - Galvanikabteilung 
Leiter/in - Gaststätte ,Leiter/in - Gaststätte 
Leiter/in - IT,Leiter/in - IT
Leiter/in - Kostenrechnung,Leiter/in - Kostenrechnung
Leiter/in - Kundendienst (kaufmännisch),Leiter/in - Kundendienst (kaufmännisch)
Leiter/in - Kundendienst (technisch),Leiter/in - Kundendienst (technisch)
Leiter/in - Lagerwirtschaft,Leiter/in - Lagerwirtschaft
Leiter/in - Lagerwirtschaft/Materialwirtschaft ,Leiter/in - Lagerwirtschaft/Materialwirtschaft 
Leiter/in - Logistik,Leiter/in - Logistik
Leiter/in - Marketing,Leiter/in - Marketing
Leiter/in - Maschinenabteilung (Bergbaumaschinentechnik) ,Leiter/in - Maschinenabteilung (Bergbaumaschinentechnik) 
Leiter/in - Maschinenanlagen,Leiter/in - Maschinenanlagen
Leiter/in - Materialwirtschaft,Leiter/in - Materialwirtschaft
Leiter/in - Museum,Leiter/in - Museum
Leiter/in - Personal,Leiter/in - Personal
Leiter/in - Produktion/Fertigung,Leiter/in - Produktion/Fertigung
Leiter/in - Qualitätsmanagement,Leiter/in - Qualitätsmanagement
Leiter/in - Rechnungswesen ,Leiter/in - Rechnungswesen 
Leiter/in - Rechtsabteilung,Leiter/in - Rechtsabteilung
Leiter/in - Rettungsstelle,Leiter/in - Rettungsstelle
Leiter/in - Revision,Leiter/in - Revision
Leiter/in - Schullandheim,Leiter/in - Schullandheim
Leiter/in - Sicherheitsdienstes (Bergbau) ,Leiter/in - Sicherheitsdienstes (Bergbau) 
Leiter/in - Steuerwesen/Steuerkanzlei ,Leiter/in - Steuerwesen/Steuerkanzlei 
Leiter/in - Studienseminar,Leiter/in - Studienseminar
Leiter/in - Verkauf (Handel),Leiter/in - Verkauf (Handel)
Leiter/in - Verkaufseinrichtung ,Leiter/in - Verkaufseinrichtung 
Leiter/in - Vertrieb,Leiter/in - Vertrieb
Leiter/in - Vertrieb (Agrarwirtschaft) ,Leiter/in - Vertrieb (Agrarwirtschaft) 
Leiter/in - Vertrieb (Bau) ,Leiter/in - Vertrieb (Bau) 
Leiter/in - Vertrieb (Bekleidungsindustrie) ,Leiter/in - Vertrieb (Bekleidungsindustrie) 
Leiter/in - Vertrieb (Chemische Industrie) ,Leiter/in - Vertrieb (Chemische Industrie) 
Leiter/in - Vertrieb (Druck-/Medientechnik) ,Leiter/in - Vertrieb (Druck-/Medientechnik) 
Leiter/in - Vertrieb (Elektrotechnik/Elektronik) ,Leiter/in - Vertrieb (Elektrotechnik/Elektronik) 
Leiter/in - Vertrieb (Energietechnik) ,Leiter/in - Vertrieb (Energietechnik) 
Leiter/in - Vertrieb (Fahrzeugtechnik) ,Leiter/in - Vertrieb (Fahrzeugtechnik) 
Leiter/in - Vertrieb (Feinwerktechnik/Optik) ,Leiter/in - Vertrieb (Feinwerktechnik/Optik) 
Leiter/in - Vertrieb (Gartenbau) ,Leiter/in - Vertrieb (Gartenbau) 
Leiter/in - Vertrieb (Gebäude-/Energie-/Versorgungstechnik) ,Leiter/in - Vertrieb (Gebäude-/Energie-/Versorgungstechnik) 
Leiter/in - Vertrieb (Getränkeindustrie/Brauwesen) ,Leiter/in - Vertrieb (Getränkeindustrie/Brauwesen) 
Leiter/in - Vertrieb (Glas/Keramik) ,Leiter/in - Vertrieb (Glas/Keramik) 
Leiter/in - Vertrieb (Holzwirtschaft) ,Leiter/in - Vertrieb (Holzwirtschaft) 
Leiter/in - Vertrieb (Kunststoffindustrie) ,Leiter/in - Vertrieb (Kunststoffindustrie) 
Leiter/in - Vertrieb (Lebensmittelindustrie/-handel) ,Leiter/in - Vertrieb (Lebensmittelindustrie/-handel) 
Leiter/in - Vertrieb (Lederindustrie) ,Leiter/in - Vertrieb (Lederindustrie) 
Leiter/in - Vertrieb (Maschinenbau) ,Leiter/in - Vertrieb (Maschinenbau) 
Leiter/in - Vertrieb (Papier/Verpackung) ,Leiter/in - Vertrieb (Papier/Verpackung) 
Leiter/in - Vertrieb (Pharmaindustrie) ,Leiter/in - Vertrieb (Pharmaindustrie) 
Leiter/in - Vertrieb (Textilindustrie) ,Leiter/in - Vertrieb (Textilindustrie) 
Leiter/in - Waldorflehrerseminar,Leiter/in - Waldorflehrerseminar
Leiter/in - Werkstätten für behinderte Menschen,Leiter/in - Werkstätten für behinderte Menschen
Leiter/in /Teamleiter/in - Finanzbuchhaltung ,Leiter/in /Teamleiter/in - Finanzbuchhaltung 
Leiter/in des Künstlerischen Betriebsbüros,Leiter/in des Künstlerischen Betriebsbüros
Leiter/in einer Baustoffprüfstelle ,Leiter/in einer Baustoffprüfstelle 
Leiter/in einer Prüfgruppe (Werkstoffprüfung) ,Leiter/in einer Prüfgruppe (Werkstoffprüfung) 
Leiter/in Ferienanlage - Eigentumsferienhäuser/-wohnungen ,Leiter/in Ferienanlage - Eigentumsferienhäuser/-wohnungen 
Leiter/in Ferieneinrichtung ,Leiter/in Ferieneinrichtung 
Leitergerüstbauer/in ,Leitergerüstbauer/in 
Leitspindeldrehbankdreher/in ,Leitspindeldrehbankdreher/in 
Leitstanddisponent/in (Kfz-Elektrik) ,Leitstanddisponent/in (Kfz-Elektrik) 
Leitstandwärter/in (Metallzieherei) ,Leitstandwärter/in (Metallzieherei) 
Lektor/in - Verlage,Lektor/in - Verlage
Lerntherapeut/in,Lerntherapeut/in
Leuchtröhrenglasbläser/in,Leuchtröhrenglasbläser/in
Liberal Arts (grundständig),Liberal Arts (grundständig)
Lichtdruckretuscheur/in ,Lichtdruckretuscheur/in 
Lichtplaner/in,Lichtplaner/in
Lichtsetzer/in ,Lichtsetzer/in 
Lichtspiel-Servicekraft ,Lichtspiel-Servicekraft 
Lichttechniker/in ,Lichttechniker/in 
Liedermacher/in,Liedermacher/in
Liegerviz(e/in) ,Liegerviz(e/in) 
Limonaden- u. Mineralwasserbereiter/in ,Limonaden- u. Mineralwasserbereiter/in 
Linguist/in (Uni) ,Linguist/in (Uni) 
Listbroker/in,Listbroker/in
Literaturagent/in,Literaturagent/in
Literaturübersetzer/in (Uni) ,Literaturübersetzer/in (Uni) 
Literaturwissenschaftler/in,Literaturwissenschaftler/in
Literaturwissenschaftler/in (Uni) ,Literaturwissenschaftler/in (Uni) 
Litzenflechter/in ,Litzenflechter/in 
Location-Coordinator,Location-Coordinator
"Logistik, Supply-Chain-Management (grundständig)","Logistik, Supply-Chain-Management (grundständig)"
"Logistik, Supply-Chain-Management (weiterführend)","Logistik, Supply-Chain-Management (weiterführend)"
Logistiker/in,Logistiker/in
Logistikmeister/in,Logistikmeister/in
Logistik-Ökonom/in ,Logistik-Ökonom/in 
Logopäde/Logopädin,Logopäde/Logopädin
Logopäde/Logopädin (Hochschule) ,Logopäde/Logopädin (Hochschule) 
"Logopädie, Sprachtherapie (grundständig)","Logopädie, Sprachtherapie (grundständig)"
"Logopädie, Sprachtherapie (weiterführend)","Logopädie, Sprachtherapie (weiterführend)"
Logotherapeut/in,Logotherapeut/in
Lohn- und Gehaltsbuchhalter/in,Lohn- und Gehaltsbuchhalter/in
Lohngalvaniseur/in ,Lohngalvaniseur/in 
Lokomobilenführer/in ,Lokomobilenführer/in 
Lokomotivführer/in ,Lokomotivführer/in 
Löter/in,Löter/in
Lotse/Lotsin,Lotse/Lotsin
"Luft-, Raumfahrttechnik (grundständig)","Luft-, Raumfahrttechnik (grundständig)"
"Luft-, Raumfahrttechnik (weiterführend)","Luft-, Raumfahrttechnik (weiterführend)"
Luftheizungsbauer/in,Luftheizungsbauer/in
Luftschiffführer/in,Luftschiffführer/in
Luftsicherheitsbeauftragte/r,Luftsicherheitsbeauftragte/r
Lüftungsfeinblechner/in ,Lüftungsfeinblechner/in 
Luftverkehrskaufmann/-frau,Luftverkehrskaufmann/-frau
Luftverkehrsmanagement (grundständig),Luftverkehrsmanagement (grundständig)
Luftverkehrsmanagement (weiterführend),Luftverkehrsmanagement (weiterführend)
Luftverkehrsmanager/in,Luftverkehrsmanager/in
Lymphdrainage- und Ödemtherapeut/in,Lymphdrainage- und Ödemtherapeut/in
"Lystrierer/in (Hut-, Mützenherstellung) ","Lystrierer/in (Hut-, Mützenherstellung) "
Makler/in,Makler/in
Maler- und Lackiererhelfer/in ,Maler- und Lackiererhelfer/in 
Maler- und Lackierermeister/in,Maler- und Lackierermeister/in
Maler/in - Beschriftungen/Schilder/Werbeobjekte,Maler/in - Beschriftungen/Schilder/Werbeobjekte
Maler/in (Puppen- u. Spieltierherstellung) ,Maler/in (Puppen- u. Spieltierherstellung) 
Maler/in und Lackierer/in,Maler/in und Lackierer/in
Maler/in und Lackierer/in - Bauten- und Korrosionsschutz,Maler/in und Lackierer/in - Bauten- und Korrosionsschutz
Maler/in und Lackierer/in - Dämmarbeiten ,Maler/in und Lackierer/in - Dämmarbeiten 
Maler/in und Lackierer/in - Fahrzeuglackierer/in ,Maler/in und Lackierer/in - Fahrzeuglackierer/in 
Maler/in und Lackierer/in - Gestaltung und Instandhaltung,Maler/in und Lackierer/in - Gestaltung und Instandhaltung
Maler/in und Lackierer/in - Kirchenmalerei und Denkmalpflege,Maler/in und Lackierer/in - Kirchenmalerei und Denkmalpflege
Maler/in und Lackierer/in - Maler/in ,Maler/in und Lackierer/in - Maler/in 
Maler/in und Lackierer/in - Restaurierungsarbeiten,Maler/in und Lackierer/in - Restaurierungsarbeiten
Maler/in und Tapezierer/in,Maler/in und Tapezierer/in
Maler/in/Dekorierer/in - Glas und Keramik ,Maler/in/Dekorierer/in - Glas und Keramik 
Management Referent/in ,Management Referent/in 
Management-/Direktionsassistent/in (doppelqual. Ausbildung),Management-/Direktionsassistent/in (doppelqual. Ausbildung)
Management-/Direktionsassistent/in (schulische Ausbildung),Management-/Direktionsassistent/in (schulische Ausbildung)
Management-Assistent/in ,Management-Assistent/in 
Manager/in,Manager/in
Mannequin/Dressman,Mannequin/Dressman
Manufakturporzellanmaler/in,Manufakturporzellanmaler/in
Marionettenspieler/in ,Marionettenspieler/in 
Marketing- und Vertriebsökonom/in ,Marketing- und Vertriebsökonom/in 
"Marketing, Vertrieb (grundständig)","Marketing, Vertrieb (grundständig)"
"Marketing, Vertrieb (weiterführend)","Marketing, Vertrieb (weiterführend)"
Marketingassistent/in ,Marketingassistent/in 
Marketingbetriebswirt/in (VWA) ,Marketingbetriebswirt/in (VWA) 
Marketingfachkraft/-assistent/in,Marketingfachkraft/-assistent/in
Marketingfachmann/-frau ,Marketingfachmann/-frau 
Marketing-Kommunikations-Ökonom/in ,Marketing-Kommunikations-Ökonom/in 
Marketing-Kommunikationswirt/in ,Marketing-Kommunikationswirt/in 
Marketingwirt/in ,Marketingwirt/in 
"Markt-, Kommunikationsforschung (grundständig)","Markt-, Kommunikationsforschung (grundständig)"
"Markt-, Kommunikationsforschung (weiterführend)","Markt-, Kommunikationsforschung (weiterführend)"
Marktforscher/in,Marktforscher/in
Marmorstuckateur/in ,Marmorstuckateur/in 
Marzipanhersteller/in ,Marzipanhersteller/in 
Maschenwarenfertigerhelfer/in ,Maschenwarenfertigerhelfer/in 
Maschenwarennacharbeiter/in ,Maschenwarennacharbeiter/in 
Maschinen- und Anlagenführer/in,Maschinen- und Anlagenführer/in
Maschinen- und Anlagenführer/in - Textiltechnik (Maschen),Maschinen- und Anlagenführer/in - Textiltechnik (Maschen)
Maschinen- und Anlagenführer/in - Textiltechnik (Schmuckt.),Maschinen- und Anlagenführer/in - Textiltechnik (Schmuckt.)
Maschinen- und Anlagenführer/in - Textiltechnik (Spinnerei),Maschinen- und Anlagenführer/in - Textiltechnik (Spinnerei)
Maschinen- und Anlagenführer/in - Textiltechnik (Tufting),Maschinen- und Anlagenführer/in - Textiltechnik (Tufting)
Maschinen- und Anlagenführer/in - Textiltechnik (Vliesstoff),Maschinen- und Anlagenführer/in - Textiltechnik (Vliesstoff)
Maschinen- und Anlagenführer/in - Textiltechnik (Weberei),Maschinen- und Anlagenführer/in - Textiltechnik (Weberei)
Maschinen- und Anlagenmonteur/in - Haush.großgeräteservice ,Maschinen- und Anlagenmonteur/in - Haush.großgeräteservice 
Maschinen- und Anlagenmonteur/in - Motorenbau ,Maschinen- und Anlagenmonteur/in - Motorenbau 
"Maschinen- und Anlagenmonteur/in -Anlagen-,Waggon-,Schiffbau ","Maschinen- und Anlagenmonteur/in -Anlagen-,Waggon-,Schiffbau "
Maschinen- und Anlagenmonteur/in-Rohrleitungs-u.Behälterbau ,Maschinen- und Anlagenmonteur/in-Rohrleitungs-u.Behälterbau 
"Maschinen-, Anlagen- und Behälterreiniger/in","Maschinen-, Anlagen- und Behälterreiniger/in"
"Maschinen-, Behälterreiniger/in ","Maschinen-, Behälterreiniger/in "
Maschinenbau (grundständig),Maschinenbau (grundständig)
Maschinenbau (weiterführend),Maschinenbau (weiterführend)
Maschinenbauer/in (Mühlenbauer/in) ,Maschinenbauer/in (Mühlenbauer/in) 
Maschinenbauermeister/in ,Maschinenbauermeister/in 
Maschinenbaumechaniker/in ,Maschinenbaumechaniker/in 
Maschinenbaumechaniker/in - Allgemeiner Maschinenbau ,Maschinenbaumechaniker/in - Allgemeiner Maschinenbau 
Maschinenbaumechaniker/in - Erzeugende Mechanik ,Maschinenbaumechaniker/in - Erzeugende Mechanik 
Maschinenbaumechaniker/in - Waagenbau ,Maschinenbaumechaniker/in - Waagenbau 
Maschinenbaumechanikermeister/in ,Maschinenbaumechanikermeister/in 
Maschinenbauzeichner/in ,Maschinenbauzeichner/in 
"Maschinendrucker/in (Hoch-, Flach-, Tiefdruck) ","Maschinendrucker/in (Hoch-, Flach-, Tiefdruck) "
Maschineneinrichter/in - Spinnerei und Weberei ,Maschineneinrichter/in - Spinnerei und Weberei 
Maschineneinrichter/in (allgemein),Maschineneinrichter/in (allgemein)
Maschineneinrichter/in (Feinmechanik) ,Maschineneinrichter/in (Feinmechanik) 
Maschineneinrichter/in (Gießerei),Maschineneinrichter/in (Gießerei)
Maschineneinrichter/in (spanlose Metallbearbeitung),Maschineneinrichter/in (spanlose Metallbearbeitung)
Maschineneinrichter/in (Zerspanungstechnik),Maschineneinrichter/in (Zerspanungstechnik)
Maschinenfahrsteiger/in ,Maschinenfahrsteiger/in 
Maschinenformer/in ,Maschinenformer/in 
Maschinenführer/in - Schweißanlagen,Maschinenführer/in - Schweißanlagen
Maschinenglasmacher/in ,Maschinenglasmacher/in 
Maschinenhauer (Bergmann) ,Maschinenhauer (Bergmann) 
Maschineningenieur/in (FS) - Allgemeiner Maschinenbau ,Maschineningenieur/in (FS) - Allgemeiner Maschinenbau 
Maschineningenieur/in (FS) - Chemieanlagenbau ,Maschineningenieur/in (FS) - Chemieanlagenbau 
Maschineningenieur/in (FS) - Förder- und Baumaschinen ,Maschineningenieur/in (FS) - Förder- und Baumaschinen 
Maschineningenieur/in (FS) - Fügetechnik ,Maschineningenieur/in (FS) - Fügetechnik 
Maschineningenieur/in (FS) - Instandhaltung ,Maschineningenieur/in (FS) - Instandhaltung 
Maschineningenieur/in (FS) - Kraft-/Arbeitsmaschinenbau ,Maschineningenieur/in (FS) - Kraft-/Arbeitsmaschinenbau 
Maschineningenieur/in (FS) - Kraftfahrzeugtechnik ,Maschineningenieur/in (FS) - Kraftfahrzeugtechnik 
Maschineningenieur/in (FS) - Kraftwerksanlagen ,Maschineningenieur/in (FS) - Kraftwerksanlagen 
Maschineningenieur/in (FS) - Landmaschinenbau ,Maschineningenieur/in (FS) - Landmaschinenbau 
Maschineningenieur/in (FS) - Luft- und Kältetechnik ,Maschineningenieur/in (FS) - Luft- und Kältetechnik 
Maschineningenieur/in (FS) - Luftfahrzeugtechnik ,Maschineningenieur/in (FS) - Luftfahrzeugtechnik 
Maschineningenieur/in (FS) - Nahrungsgütermaschinenbau ,Maschineningenieur/in (FS) - Nahrungsgütermaschinenbau 
Maschineningenieur/in (FS) - Rohrleitungen und Isolierungen ,Maschineningenieur/in (FS) - Rohrleitungen und Isolierungen 
Maschineningenieur/in (FS) - Schienenfahrzeugtechnik ,Maschineningenieur/in (FS) - Schienenfahrzeugtechnik 
Maschineningenieur/in (FS) - Schiffbautechnik ,Maschineningenieur/in (FS) - Schiffbautechnik 
Maschineningenieur/in (FS) - Stahlbau ,Maschineningenieur/in (FS) - Stahlbau 
Maschineningenieur/in (FS) - Techn. metallverarb.Industrie ,Maschineningenieur/in (FS) - Techn. metallverarb.Industrie 
Maschineningenieur/in (FS) - Textilmaschinenbau ,Maschineningenieur/in (FS) - Textilmaschinenbau 
Maschineningenieur/in (FS) - Werkzeugmaschinenbau ,Maschineningenieur/in (FS) - Werkzeugmaschinenbau 
Maschinenisolierer/in ,Maschinenisolierer/in 
Maschinenkeramfacharbeiter/in - Aufbereiter/in/Formgeber/in ,Maschinenkeramfacharbeiter/in - Aufbereiter/in/Formgeber/in 
Maschinenkeramfacharbeiter/in - Baukeramik ,Maschinenkeramfacharbeiter/in - Baukeramik 
Maschinenkeramfacharbeiter/in - Brenner/in ,Maschinenkeramfacharbeiter/in - Brenner/in 
Maschinenkeramfacharbeiter/in - Feuerfestkeramik ,Maschinenkeramfacharbeiter/in - Feuerfestkeramik 
Maschinenkeramfacharbeiter/in - Grobkeramik ,Maschinenkeramfacharbeiter/in - Grobkeramik 
Maschinenkeramfacharbeiter/in - Massemacher/in ,Maschinenkeramfacharbeiter/in - Massemacher/in 
Maschinenkeramfacharbeiter/in - Setzer/in/ Ausfahrer/in ,Maschinenkeramfacharbeiter/in - Setzer/in/ Ausfahrer/in 
Maschinenkeramfacharbeiter/in - Steinzeugsortierer/in ,Maschinenkeramfacharbeiter/in - Steinzeugsortierer/in 
Maschinenkeramfacharbeiter/in - Trockenwart/in ,Maschinenkeramfacharbeiter/in - Trockenwart/in 
Maschinenschlosser/in ,Maschinenschlosser/in 
Maschinenschlosserhelfer/in ,Maschinenschlosserhelfer/in 
Maschinensetzer/in ,Maschinensetzer/in 
Maschinensteiger/in ,Maschinensteiger/in 
Maschinensticker/in (Schmucktextilienherstellung) ,Maschinensticker/in (Schmucktextilienherstellung) 
Maschinenzusammensetzer/in ,Maschinenzusammensetzer/in 
Maschinist/in - Aufbereitungs- und Förderanlagen ,Maschinist/in - Aufbereitungs- und Förderanlagen 
Maschinist/in - Brikettierungsanlagen ,Maschinist/in - Brikettierungsanlagen 
Maschinist/in - Schiff - Maschine ,Maschinist/in - Schiff - Maschine 
Maschinist/in - Wärmekraftwerke ,Maschinist/in - Wärmekraftwerke 
Maschinist/in (Transportmittel u. Hebezeuge) ,Maschinist/in (Transportmittel u. Hebezeuge) 
Maschinistenhelfer/in ,Maschinistenhelfer/in 
Maskenbild (grundständig),Maskenbild (grundständig)
Maskenbild (weiterführend),Maskenbild (weiterführend)
Maskenbildner/in,Maskenbildner/in
Maskenbildner/in (Hochschule) ,Maskenbildner/in (Hochschule) 
Maskenformer/in ,Maskenformer/in 
Masseur/in ,Masseur/in 
Masseur/in und medizinische/r Bademeister/in,Masseur/in und medizinische/r Bademeister/in
Maßschneider/in,Maßschneider/in
Maßschneidermeister/in,Maßschneidermeister/in
Maßschuhmacher/in ,Maßschuhmacher/in 
Master of Business Administration ,Master of Business Administration 
Materialwissenschaft (grundständig),Materialwissenschaft (grundständig)
Materialwissenschaft (weiterführend),Materialwissenschaft (weiterführend)
Mathematik (grundständig),Mathematik (grundständig)
Mathematik (weiterführend),Mathematik (weiterführend)
Mathematiker/in,Mathematiker/in
Mathematiker/in - allgemeine Mathematik ,Mathematiker/in - allgemeine Mathematik 
Mathematiker/in - Biomathematik ,Mathematiker/in - Biomathematik 
Mathematiker/in - Computermathematik ,Mathematiker/in - Computermathematik 
Mathematiker/in - Technomathematik ,Mathematiker/in - Technomathematik 
Mathematiker/in - Wirtschaftsmathematik ,Mathematiker/in - Wirtschaftsmathematik 
Mathematisch-technische/r Assistent/in,Mathematisch-technische/r Assistent/in
Mathematisch-technische/r Softwareentwickler/in,Mathematisch-technische/r Softwareentwickler/in
Matratzenhersteller/in ,Matratzenhersteller/in 
"Matrizen-, Schablonenbauer/in ","Matrizen-, Schablonenbauer/in "
Matrose - Binnenschifffahrt ,Matrose - Binnenschifffahrt 
Matrose/Matrosin ,Matrose/Matrosin 
Matrose/Matrosin - Handelsschifffahrt ,Matrose/Matrosin - Handelsschifffahrt 
Matrose/Matrosin (Binnenschifffahrt) ,Matrose/Matrosin (Binnenschifffahrt) 
Maurer- und Betonbauermeister/in,Maurer- und Betonbauermeister/in
Maurer/in,Maurer/in
Maurer/in - Restaurierungsarbeiten,Maurer/in - Restaurierungsarbeiten
Maurerhelfer/in ,Maurerhelfer/in 
Maurermeister/in ,Maurermeister/in 
Mechanik (grundständig),Mechanik (grundständig)
Mechanik (weiterführend),Mechanik (weiterführend)
Mechaniker/in ,Mechaniker/in 
Mechaniker/in - Bergbautechnik ,Mechaniker/in - Bergbautechnik 
Mechaniker/in - chirurgische Messer ,Mechaniker/in - chirurgische Messer 
Mechaniker/in - Karosserieinstandhaltungstechnik ,Mechaniker/in - Karosserieinstandhaltungstechnik 
Mechaniker/in - Land- und Baumaschinentechnik ,Mechaniker/in - Land- und Baumaschinentechnik 
Mechaniker/in - Musikinstrumente (Blasinstrumente) ,Mechaniker/in - Musikinstrumente (Blasinstrumente) 
Mechaniker/in - Musikinstrumente (Reinstimmer/in) ,Mechaniker/in - Musikinstrumente (Reinstimmer/in) 
Mechaniker/in - Musikinstrumente (Tonzungeninstrumente) ,Mechaniker/in - Musikinstrumente (Tonzungeninstrumente) 
Mechaniker/in - Reifen- u. Vulkanis.,Mechaniker/in - Reifen- u. Vulkanis.
Mechaniker/in - Reifen- u. Vulkanis. - Reifen- u. Fahrwerkt.,Mechaniker/in - Reifen- u. Vulkanis. - Reifen- u. Fahrwerkt.
Mechaniker/in - Reifen- u. Vulkanis. - Vulkanisationstechnik,Mechaniker/in - Reifen- u. Vulkanis. - Vulkanisationstechnik
Mechaniker/in - Zupf- und Streichinstrumente ,Mechaniker/in - Zupf- und Streichinstrumente 
Mechaniker/in (allgemeine Mechanik) ,Mechaniker/in (allgemeine Mechanik) 
Mechaniker/in für Datenverarbeitungs- und Büromaschinen ,Mechaniker/in für Datenverarbeitungs- und Büromaschinen 
Mechanikerhelfer/in (§66 BBiG/§42m HWO) ,Mechanikerhelfer/in (§66 BBiG/§42m HWO) 
Mechanikermeister/in - Reifen- und Vulkanisationstechnik,Mechanikermeister/in - Reifen- und Vulkanisationstechnik
Mechatronik (grundständig),Mechatronik (grundständig)
Mechatronik (weiterführend),Mechatronik (weiterführend)
Mechatroniker/in,Mechatroniker/in
Mechatroniker/in - Kältetechnik,Mechatroniker/in - Kältetechnik
Media Manager/in - Net Production ,Media Manager/in - Net Production 
Media-Fachkraft,Media-Fachkraft
Mediaplaner/in,Mediaplaner/in
Mediator/in,Mediator/in
Mediävist/in,Mediävist/in
Mediävistik (grundständig),Mediävistik (grundständig)
Mediävistik (weiterführend),Mediävistik (weiterführend)
Medical Advisor,Medical Advisor
"Medien-, Multimediatechnik (grundständig)","Medien-, Multimediatechnik (grundständig)"
"Medien-, Multimediatechnik (weiterführend)","Medien-, Multimediatechnik (weiterführend)"
Medienassistent/in,Medienassistent/in
Medienberater/in - Audiovisuelle Medien,Medienberater/in - Audiovisuelle Medien
"Mediendesign, -kunst (grundständig)","Mediendesign, -kunst (grundständig)"
"Mediendesign, -kunst (weiterführend)","Mediendesign, -kunst (weiterführend)"
Mediendesigner/in,Mediendesigner/in
Mediendesigner/in (BA) - Webdesign ,Mediendesigner/in (BA) - Webdesign 
Mediengestalter/in - Bild und Ton,Mediengestalter/in - Bild und Ton
Mediengestalter/in - Digital-/Printmedien - Medienberatung ,Mediengestalter/in - Digital-/Printmedien - Medienberatung 
Mediengestalter/in - Digital-/Printmedien - Mediendesign ,Mediengestalter/in - Digital-/Printmedien - Mediendesign 
Mediengestalter/in - Digital-/Printmedien - Medienoperating ,Mediengestalter/in - Digital-/Printmedien - Medienoperating 
Mediengestalter/in - Digital-/Printmedien - Medientechnik ,Mediengestalter/in - Digital-/Printmedien - Medientechnik 
Mediengestalter/in Digital und Print,Mediengestalter/in Digital und Print
Mediengestalter/in Digital und Print - Beratung und Planung,Mediengestalter/in Digital und Print - Beratung und Planung
Mediengestalter/in Digital und Print - Gestaltung u. Technik,Mediengestalter/in Digital und Print - Gestaltung u. Technik
Mediengestalter/in Digital und Print - Konzept. u. Visualis.,Mediengestalter/in Digital und Print - Konzept. u. Visualis.
Mediengestalter/in Flexografie,Mediengestalter/in Flexografie
Medieninformatik (grundständig),Medieninformatik (grundständig)
